################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  6.62e+06 4158.84 | 4117.65    0.0   2884     0 |    1.43   1.35   0.08  -1.18
0  6.70e+06 4158.84 | 4116.80    0.0   2884     0 |    1.43   1.35  -0.05  -1.17
0  6.78e+06 4158.84 | 4116.36    0.0   2884     0 |    1.43   1.33   0.13  -1.17
0  6.86e+06 4158.84 | 4120.69    0.0   2884     0 |    1.43   1.32   0.13  -1.17
0  6.95e+06 4158.84 | 4124.96    0.0   2884     0 |    1.43   1.31  -0.07  -1.16
0  7.03e+06 4158.84 | 4134.69    0.0   2885     0 |    1.43   1.24   0.04  -1.15
0  7.10e+06 4158.84 | 4129.88    0.0   2884     0 |    1.43   1.36   0.01  -1.15
0  7.18e+06 4158.84 | 4141.91    0.0   2885     0 |    1.43   1.15   0.08  -1.16
0  7.26e+06 4158.84 | 4124.89    0.0   2884     0 |    1.43   1.39   0.05  -1.16
0  7.34e+06 4158.84 | 4124.90    0.0   2885     0 |    1.43   1.38  -0.05  -1.17
0  7.42e+06 4158.84 | 4118.71    0.0   2886     0 |    1.43   1.26  -0.04  -1.17
0  7.50e+06 4158.84 | 4117.82    0.0   2885     0 |    1.43   1.30   0.01  -1.17
0  7.58e+06 4158.84 | 4129.66    0.0   2886     0 |    1.43   1.55   0.05  -1.17
0  7.66e+06 4158.84 | 4099.52    0.0   2884     0 |    1.42   1.41   0.05  -1.17
0  7.74e+06 4158.84 | 4113.21    0.0   2886     0 |    1.42   1.16   0.04  -1.18
0  7.82e+06 4158.84 | 4114.06    0.0   2885     0 |    1.43   1.31  -0.00  -1.17
0  7.90e+06 4158.84 | 4100.90    0.0   2884     0 |    1.42   1.57  -0.04  -1.17
0  7.98e+06 4158.84 | 4111.75    0.0   2884     0 |    1.42   1.30  -0.00  -1.17
0  8.06e+06 4158.84 | 4100.23    0.0   2884     0 |    1.42   1.50   0.02  -1.17
0  8.15e+06 4158.84 | 4109.40    0.0   2885     0 |    1.42   1.51  -0.08  -1.18
0  8.23e+06 4158.84 | 4107.54    0.0   2884     0 |    1.42   1.48   0.02  -1.17
0  8.31e+06 4158.84 | 4099.49    0.0   2884     0 |    1.42   1.57   0.09  -1.16
0  8.39e+06 4158.84 | 4100.76    0.0   2884     0 |    1.42   1.46   0.01  -1.18
0  8.47e+06 4158.84 | 4100.62    0.0   2884     0 |    1.42   1.41  -0.02  -1.16
0  8.55e+06 4158.84 | 4108.74    0.0   2884     0 |    1.42   1.30  -0.09  -1.15
0  8.63e+06 4158.84 | 4097.40    0.0   2884     0 |    1.42   1.45  -0.01  -1.16
0  8.71e+06 4158.84 | 4102.90    0.0   2884     0 |    1.42   1.35   0.06  -1.15
0  8.79e+06 4158.84 | 4101.92    0.0   2884     0 |    1.42   1.36   0.04  -1.16
0  8.87e+06 4158.84 | 4104.35    0.0   2884     0 |    1.42   1.32   0.08  -1.16
0  8.95e+06 4158.84 | 4101.87    0.0   2884     0 |    1.42   1.38   0.13  -1.15
0  9.03e+06 4158.84 | 4103.70    0.0   2884     0 |    1.42   1.41  -0.02  -1.15
0  9.11e+06 4158.84 | 4109.13    0.0   2884     0 |    1.42   1.27   0.00  -1.15
0  9.20e+06 4158.84 | 4107.22    0.0   2884     0 |    1.42   1.18  -0.02  -1.16
0  9.28e+06 4158.84 | 4106.45    0.0   2884     0 |    1.42   1.44   0.02  -1.16
0  9.36e+06 4158.84 | 4104.70    0.0   2884     0 |    1.42   1.51   0.08  -1.15
0  9.44e+06 4158.84 | 4105.49    0.0   2884     0 |    1.42   1.35   0.07  -1.15
0  9.52e+06 4158.84 | 4111.28    0.0   2884     0 |    1.42   1.25   0.02  -1.15
0  9.60e+06 4158.84 | 4110.33    0.0   2884     0 |    1.42   1.47   0.04  -1.15
0  9.68e+06 4158.84 | 4108.28    0.0   2884     0 |    1.42   1.27   0.11  -1.16
0  9.76e+06 4158.84 | 4111.78    0.0   2884     0 |    1.42   1.50   0.12  -1.14
0  9.84e+06 4158.84 | 4110.21    0.0   2884     0 |    1.42   1.32   0.14  -1.14
0  9.92e+06 4158.84 | 4109.59    0.0   2884     0 |    1.42   1.36   0.01  -1.14
0  1.00e+07 4158.84 | 4111.23    0.0   2884     0 |    1.42   1.32   0.06  -1.15
0  1.01e+07 4158.84 | 4110.48    0.0   2884     0 |    1.42   1.42   0.03  -1.16
0  1.02e+07 4158.84 | 4115.90    0.0   2884     0 |    1.43   1.41  -0.01  -1.17
0  1.02e+07 4158.84 | 4113.91    0.0   2884     0 |    1.43   1.23   0.05  -1.16
0  1.03e+07 4158.84 | 4112.54    0.0   2884     0 |    1.43   1.45   0.00  -1.16
0  1.04e+07 4158.84 | 4112.53    0.0   2884     0 |    1.43   1.52   0.03  -1.16
0  1.05e+07 4158.84 | 4113.27    0.0   2884     0 |    1.43   1.40   0.03  -1.16
0  1.06e+07 4158.84 | 4114.88    0.0   2884     0 |    1.43   1.28   0.10  -1.16
0  1.06e+07 4158.84 | 4115.69    0.0   2884     0 |    1.43   1.44  -0.01  -1.17
0  1.07e+07 4158.84 | 4115.81    0.0   2884     0 |    1.43   1.41  -0.09  -1.17
0  1.08e+07 4158.84 | 4120.21    0.0   2884     0 |    1.43   1.37   0.01  -1.17
0  1.09e+07 4158.84 | 4117.93    0.0   2884     0 |    1.43   1.10  -0.02  -1.17
0  1.10e+07 4158.84 | 4125.15    0.0   2884     0 |    1.43   1.27   0.03  -1.17
0  1.11e+07 4158.84 | 4124.59    0.0   2884     0 |    1.43   1.21   0.10  -1.17
0  1.11e+07 4158.84 | 4143.33    0.0   2885     0 |    1.44   1.22   0.06  -1.17
0  1.12e+07 4158.84 | 4126.40    0.0   2885     0 |    1.43   1.40   0.09  -1.17
0  1.13e+07 4158.84 | 4145.12    0.0   2885     0 |    1.44   1.23   0.04  -1.17
0  1.14e+07 4158.84 | 4124.91    0.0   2884     0 |    1.43   1.31   0.13  -1.17
0  1.15e+07 4158.84 | 4119.58    0.0   2884     0 |    1.43   1.31   0.03  -1.17
0  1.15e+07 4158.84 | 4111.98    0.0   2884     0 |    1.42   1.29  -0.01  -1.17
