################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  2.08e+07 4156.13 | 4064.22    0.0   2882     0 |    1.41   0.74   0.11  -1.14
0  2.09e+07 4156.13 | 4060.96    0.0   2882     0 |    1.41   0.73   0.11  -1.14
0  2.10e+07 4156.13 | 4058.22    0.0   2882     0 |    1.41   0.78   0.11  -1.14
0  2.10e+07 4156.13 | 4060.10    0.0   2882     0 |    1.41   0.84   0.03  -1.15
0  2.11e+07 4156.13 | 4058.94    0.0   2882     0 |    1.41   0.70   0.03  -1.15
0  2.12e+07 4156.13 | 4058.40    0.0   2882     0 |    1.41   0.75   0.07  -1.15
0  2.13e+07 4156.13 | 4056.45    0.0   2882     0 |    1.41   0.72   0.08  -1.15
0  2.13e+07 4156.13 | 4053.15    0.0   2882     0 |    1.41   0.77   0.15  -1.15
0  2.14e+07 4156.13 | 4055.73    0.0   2882     0 |    1.41   0.75  -0.02  -1.13
0  2.15e+07 4156.13 | 4049.90    0.0   2882     0 |    1.40   0.77   0.01  -1.13
0  2.16e+07 4156.13 | 4056.42    0.0   2882     0 |    1.41   0.61   0.10  -1.14
0  2.16e+07 4156.13 | 4059.30    0.0   2882     0 |    1.41   0.74  -0.04  -1.14
0  2.17e+07 4156.13 | 4060.19    0.0   2882     0 |    1.41   0.65   0.02  -1.14
0  2.18e+07 4156.13 | 4058.46    0.0   2882     0 |    1.41   0.83   0.02  -1.13
0  2.19e+07 4156.13 | 4056.98    0.0   2882     0 |    1.41   0.67   0.03  -1.13
0  2.19e+07 4156.13 | 4059.96    0.0   2882     0 |    1.41   0.68  -0.07  -1.13
0  2.20e+07 4156.13 | 4061.93    0.0   2882     0 |    1.41   0.75   0.07  -1.13
0  2.21e+07 4156.13 | 4061.99    0.0   2882     0 |    1.41   0.70  -0.03  -1.13
0  2.22e+07 4156.13 | 4063.05    0.0   2882     0 |    1.41   0.79   0.03  -1.13
0  2.22e+07 4156.13 | 4062.82    0.0   2882     0 |    1.41   0.72  -0.00  -1.14
0  2.23e+07 4156.13 | 4064.55    0.0   2882     0 |    1.41   0.79  -0.06  -1.13
0  2.24e+07 4156.13 | 4064.28    0.0   2882     0 |    1.41   0.72   0.06  -1.14
0  2.25e+07 4156.13 | 4062.40    0.0   2882     0 |    1.41   0.71   0.01  -1.16
0  2.25e+07 4156.13 | 4060.86    0.0   2882     0 |    1.41   0.76   0.03  -1.15
0  2.26e+07 4156.13 | 4061.36    0.0   2882     0 |    1.41   0.68   0.07  -1.15
0  2.27e+07 4156.13 | 4056.16    0.0   2882     0 |    1.41   0.61  -0.04  -1.15
0  2.28e+07 4156.13 | 4062.23    0.0   2882     0 |    1.41   0.76   0.11  -1.15
0  2.28e+07 4156.13 | 4063.69    0.0   2882     0 |    1.41   0.71   0.16  -1.16
0  2.29e+07 4156.13 | 4064.00    0.0   2882     0 |    1.41   0.69  -0.05  -1.16
0  2.30e+07 4156.13 | 4060.13    0.0   2882     0 |    1.41   0.69   0.02  -1.15
0  2.31e+07 4156.13 | 4063.69    0.0   2882     0 |    1.41   0.70   0.14  -1.14
0  2.31e+07 4156.13 | 4063.45    0.0   2882     0 |    1.41   0.68  -0.02  -1.14
0  2.32e+07 4156.13 | 4063.75    0.0   2882     0 |    1.41   0.87   0.09  -1.14
0  2.33e+07 4156.13 | 4064.87    0.0   2882     0 |    1.41   0.73   0.07  -1.14
0  2.34e+07 4156.13 | 4063.77    0.0   2882     0 |    1.41   0.80   0.09  -1.14
0  2.34e+07 4156.13 | 4059.72    0.0   2882     0 |    1.41   0.70   0.06  -1.14
0  2.35e+07 4156.13 | 4062.36    0.0   2882     0 |    1.41   0.86   0.08  -1.14
0  2.36e+07 4156.13 | 4059.96    0.0   2882     0 |    1.41   0.75   0.13  -1.13
0  2.37e+07 4156.13 | 4062.59    0.0   2882     0 |    1.41   0.73   0.04  -1.14
0  2.37e+07 4156.13 | 4058.05    0.0   2882     0 |    1.41   0.71   0.15  -1.14
0  2.38e+07 4156.13 | 4057.41    0.0   2882     0 |    1.41   0.83   0.01  -1.14
0  2.39e+07 4156.13 | 4060.34    0.0   2882     0 |    1.41   0.73  -0.07  -1.14
0  2.40e+07 4156.13 | 4059.35    0.0   2882     0 |    1.41   0.68  -0.02  -1.15
0  2.40e+07 4156.13 | 4058.82    0.0   2882     0 |    1.41   0.77  -0.03  -1.14
0  2.41e+07 4156.13 | 4063.54    0.0   2882     0 |    1.41   0.69  -0.06  -1.14
0  2.42e+07 4156.13 | 4064.21    0.0   2882     0 |    1.41   0.69   0.02  -1.16
0  2.43e+07 4156.13 | 4064.72    0.0   2882     0 |    1.41   0.82  -0.00  -1.15
0  2.43e+07 4156.13 | 4065.56    0.0   2882     0 |    1.41   0.86   0.03  -1.16
0  2.44e+07 4156.13 | 4068.36    0.0   2882     0 |    1.41   0.73   0.19  -1.16
0  2.45e+07 4156.13 | 4065.47    0.0   2882     0 |    1.41   0.76   0.03  -1.15
0  2.46e+07 4156.13 | 4063.20    0.0   2882     0 |    1.41   0.76   0.07  -1.16
0  2.46e+07 4156.13 | 4063.16    0.0   2882     0 |    1.41   0.67   0.02  -1.15
0  2.47e+07 4156.13 | 4060.26    0.0   2882     0 |    1.41   0.71   0.01  -1.14
0  2.48e+07 4156.13 | 4062.50    0.0   2882     0 |    1.41   0.81   0.04  -1.15
0  2.49e+07 4156.13 | 4062.35    0.0   2882     0 |    1.41   0.76  -0.03  -1.14
0  2.49e+07 4156.13 | 4064.09    0.0   2882     0 |    1.41   0.78   0.10  -1.14
0  2.50e+07 4156.13 | 4062.86    0.0   2882     0 |    1.41   0.75   0.09  -1.15
0  2.51e+07 4156.13 | 4061.54    0.0   2882     0 |    1.41   0.78   0.10  -1.15
0  2.52e+07 4156.13 | 4062.61    0.0   2882     0 |    1.41   0.71   0.03  -1.15
0  2.52e+07 4156.13 | 4061.48    0.0   2882     0 |    1.41   0.64   0.01  -1.15
0  2.53e+07 4156.13 | 4063.85    0.0   2882     0 |    1.41   0.70   0.08  -1.16
0  2.54e+07 4156.13 | 4063.74    0.0   2882     0 |    1.41   0.62  -0.00  -1.16
0  2.55e+07 4156.13 | 4062.17    0.0   2882     0 |    1.41   0.74   0.09  -1.15
0  2.55e+07 4156.13 | 4066.56    0.0   2882     0 |    1.41   0.73   0.09  -1.15
0  2.56e+07 4156.13 | 4061.65    0.0   2882     0 |    1.41   0.70  -0.03  -1.15
0  2.57e+07 4156.13 | 4058.10    0.0   2882     0 |    1.41   0.65   0.01  -1.15
0  2.58e+07 4156.13 | 4065.32    0.0   2882     0 |    1.41   0.72  -0.01  -1.14
0  2.58e+07 4156.13 | 4065.25    0.0   2882     0 |    1.41   0.77   0.07  -1.13
0  2.59e+07 4156.13 | 4054.17    0.0   2882     0 |    1.41   0.77  -0.01  -1.14
0  2.60e+07 4156.13 | 4056.56    0.0   2882     0 |    1.41   0.69   0.08  -1.13
0  2.61e+07 4156.13 | 4055.64    0.0   2882     0 |    1.41   0.80   0.07  -1.13
0  2.61e+07 4156.13 | 4042.03    0.0   2882     0 |    1.40   0.65   0.10  -1.14
0  2.62e+07 4156.13 | 4041.63    0.0   2882     0 |    1.40   0.65   0.04  -1.14
0  2.63e+07 4156.13 | 4035.58    0.0   2882     0 |    1.40   0.73   0.11  -1.15
0  2.64e+07 4156.13 | 4036.62    0.0   2882     0 |    1.40   0.85   0.06  -1.16
0  2.64e+07 4156.13 | 4038.50    0.0   2882     0 |    1.40   0.56  -0.00  -1.15
0  2.65e+07 4156.13 | 4044.14    0.0   2883     0 |    1.40   0.69  -0.03  -1.14
0  2.66e+07 4156.13 | 4050.26    0.0   2883     0 |    1.40   0.81   0.13  -1.15
0  2.67e+07 4156.13 | 4055.38    0.0   2883     0 |    1.41   0.63   0.04  -1.16
0  2.67e+07 4156.13 | 4056.89    0.0   2883     0 |    1.41   0.91  -0.05  -1.15
0  2.68e+07 4156.13 | 4056.16    0.0   2882     0 |    1.41   0.66  -0.00  -1.14
0  2.69e+07 4156.13 | 4053.52    0.0   2882     0 |    1.41   0.68   0.00  -1.14
0  2.70e+07 4156.13 | 4048.16    0.0   2882     0 |    1.41   0.71  -0.01  -1.15
0  2.70e+07 4156.13 | 4053.20    0.0   2882     0 |    1.41   0.80  -0.03  -1.16
0  2.71e+07 4156.13 | 4054.67    0.0   2882     0 |    1.41   0.73  -0.05  -1.15
0  2.72e+07 4156.13 | 4059.35    0.0   2882     0 |    1.41   0.72  -0.06  -1.15
0  2.73e+07 4156.13 | 4058.32    0.0   2882     0 |    1.40   0.76   0.07  -1.15
0  2.73e+07 4156.13 | 4059.53    0.0   2882     0 |    1.41   0.77  -0.05  -1.15
0  2.74e+07 4156.13 | 4043.30    0.0   2882     0 |    1.41   0.75   0.07  -1.15
0  2.75e+07 4156.13 | 4041.71    0.0   2886     0 |    1.40   0.81   0.03  -1.14
0  2.76e+07 4156.13 | 4051.33    0.0   2885     0 |    1.40   0.76   0.04  -1.15
0  2.76e+07 4156.13 | 4033.92    0.0   2885     0 |    1.40   0.69   0.06  -1.14
0  2.77e+07 4156.13 | 4024.44    0.0   2886     0 |    1.40   0.83  -0.10  -1.14
0  2.78e+07 4156.13 | 4032.43    0.0   2885     0 |    1.39   0.58   0.04  -1.14
0  2.79e+07 4156.13 | 4032.00    0.0   2886     0 |    1.40   0.77  -0.04  -1.15
0  2.79e+07 4156.13 | 4003.21    0.0   2886     0 |    1.39   0.67   0.13  -1.15
0  2.80e+07 4156.13 | 3980.52    0.0   2886     0 |    1.38   0.70   0.04  -1.14
0  2.81e+07 4156.13 | 3990.97    0.0   2887     0 |    1.38   0.71  -0.05  -1.14
0  2.82e+07 4156.13 | 3973.82    0.0   2887     0 |    1.38   0.71   0.10  -1.14
0  2.82e+07 4156.13 | 4015.26    0.0   2887     0 |    1.37   0.71  -0.05  -1.15
0  2.83e+07 4156.13 | 3982.85    0.0   2887     0 |    1.38   0.70   0.04  -1.15
0  2.84e+07 4156.13 | 4044.95    0.0   2887     0 |    1.40   0.65  -0.01  -1.15
0  2.85e+07 4156.13 | 4054.38    0.0   2887     0 |    1.40   0.73  -0.03  -1.13
0  2.85e+07 4156.13 | 4043.00    0.0   2886     0 |    1.41   0.76   0.10  -1.13
0  2.86e+07 4156.13 | 4046.88    0.0   2887     0 |    1.40   0.74  -0.02  -1.12
0  2.87e+07 4156.13 | 4060.16    0.0   2882     0 |    1.41   0.74   0.01  -1.12
0  2.88e+07 4156.13 | 4063.04    0.0   2882     0 |    1.41   0.72  -0.01  -1.13
0  2.88e+07 4156.13 | 4060.83    0.0   2882     0 |    1.41   0.71   0.06  -1.13
0  2.89e+07 4156.13 | 4063.40    0.0   2882     0 |    1.41   0.66   0.03  -1.13
0  2.90e+07 4156.13 | 4067.00    0.0   2882     0 |    1.41   0.75   0.07  -1.12
0  2.91e+07 4156.13 | 4039.34    0.0   2882     0 |    1.40   0.70  -0.01  -1.14
