################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  2.09e+07 4140.47 | 4064.76    0.0   2881     0 |    1.41   0.45   0.08  -1.16
0  2.10e+07 4140.47 | 4059.33    0.0   2881     0 |    1.41   0.38  -0.05  -1.15
0  2.11e+07 4140.47 | 4062.18    0.0   2881     0 |    1.41   0.44  -0.11  -1.15
0  2.11e+07 4140.47 | 4064.98    0.0   2881     0 |    1.41   0.46  -0.06  -1.15
0  2.12e+07 4140.47 | 4067.84    0.0   2881     0 |    1.41   0.46  -0.03  -1.14
0  2.13e+07 4140.47 | 4066.67    0.0   2881     0 |    1.41   0.40   0.13  -1.14
0  2.14e+07 4140.47 | 4067.67    0.0   2881     0 |    1.41   0.41  -0.06  -1.13
0  2.14e+07 4140.47 | 4067.56    0.0   2881     0 |    1.41   0.41  -0.04  -1.14
0  2.15e+07 4140.47 | 4068.03    0.0   2881     0 |    1.41   0.43  -0.02  -1.14
0  2.16e+07 4140.47 | 4065.58    0.0   2881     0 |    1.41   0.42   0.06  -1.15
0  2.17e+07 4140.47 | 4065.38    0.0   2881     0 |    1.41   0.45   0.01  -1.15
0  2.17e+07 4140.47 | 4066.18    0.0   2881     0 |    1.41   0.39   0.02  -1.15
0  2.18e+07 4140.47 | 4065.07    0.0   2881     0 |    1.41   0.44   0.06  -1.16
0  2.19e+07 4140.47 | 4065.85    0.0   2881     0 |    1.41   0.41  -0.01  -1.15
0  2.20e+07 4140.47 | 4068.48    0.0   2881     0 |    1.41   0.40   0.06  -1.15
0  2.20e+07 4140.47 | 4067.47    0.0   2881     0 |    1.41   0.40   0.02  -1.15
0  2.21e+07 4140.47 | 4067.56    0.0   2881     0 |    1.41   0.39  -0.05  -1.16
0  2.22e+07 4140.47 | 4066.13    0.0   2881     0 |    1.41   0.44   0.05  -1.16
0  2.23e+07 4140.47 | 4067.40    0.0   2881     0 |    1.41   0.38  -0.02  -1.17
0  2.23e+07 4140.47 | 4069.86    0.0   2881     0 |    1.41   0.36   0.07  -1.16
0  2.24e+07 4140.47 | 4066.98    0.0   2881     0 |    1.41   0.49   0.02  -1.15
0  2.25e+07 4140.47 | 4068.30    0.0   2881     0 |    1.41   0.47   0.11  -1.15
0  2.26e+07 4140.47 | 4069.15    0.0   2881     0 |    1.41   0.41  -0.05  -1.15
0  2.26e+07 4140.47 | 4066.09    0.0   2881     0 |    1.41   0.38   0.02  -1.14
0  2.27e+07 4140.47 | 4068.44    0.0   2881     0 |    1.41   0.41  -0.06  -1.13
0  2.28e+07 4140.47 | 4068.79    0.0   2881     0 |    1.41   0.48  -0.02  -1.13
0  2.29e+07 4140.47 | 4068.71    0.0   2881     0 |    1.41   0.45  -0.01  -1.13
0  2.29e+07 4140.47 | 4069.62    0.0   2881     0 |    1.41   0.43  -0.02  -1.13
0  2.30e+07 4140.47 | 4069.99    0.0   2881     0 |    1.41   0.36   0.12  -1.13
0  2.31e+07 4140.47 | 4068.18    0.0   2881     0 |    1.41   0.43   0.01  -1.14
0  2.32e+07 4140.47 | 4070.14    0.0   2881     0 |    1.41   0.47   0.05  -1.14
0  2.32e+07 4140.47 | 4063.39    0.0   2881     0 |    1.41   0.43  -0.01  -1.15
0  2.33e+07 4140.47 | 4066.96    0.0   2881     0 |    1.41   0.42   0.02  -1.15
0  2.34e+07 4140.47 | 4068.94    0.0   2881     0 |    1.41   0.43   0.01  -1.15
0  2.35e+07 4140.47 | 4069.52    0.0   2881     0 |    1.41   0.41  -0.09  -1.14
0  2.35e+07 4140.47 | 4066.45    0.0   2881     0 |    1.41   0.42   0.01  -1.13
0  2.36e+07 4140.47 | 4066.22    0.0   2881     0 |    1.41   0.42  -0.00  -1.14
0  2.37e+07 4140.47 | 4063.39    0.0   2881     0 |    1.41   0.49  -0.07  -1.15
0  2.38e+07 4140.47 | 4063.55    0.0   2881     0 |    1.41   0.40   0.00  -1.15
0  2.38e+07 4140.47 | 4064.10    0.0   2881     0 |    1.41   0.42  -0.02  -1.15
0  2.39e+07 4140.47 | 4058.25    0.0   2881     0 |    1.41   0.40   0.12  -1.15
0  2.40e+07 4140.47 | 4063.88    0.0   2881     0 |    1.41   0.40  -0.02  -1.14
0  2.41e+07 4140.47 | 4058.89    0.0   2881     0 |    1.41   0.44  -0.09  -1.14
0  2.41e+07 4140.47 | 4061.50    0.0   2881     0 |    1.41   0.41   0.01  -1.14
0  2.42e+07 4140.47 | 4065.53    0.0   2881     0 |    1.41   0.43  -0.01  -1.15
0  2.43e+07 4140.47 | 4065.68    0.0   2881     0 |    1.41   0.41   0.02  -1.15
0  2.44e+07 4140.47 | 4066.38    0.0   2881     0 |    1.41   0.39  -0.04  -1.15
0  2.44e+07 4140.47 | 4065.44    0.0   2881     0 |    1.41   0.38  -0.04  -1.15
0  2.45e+07 4140.47 | 4065.82    0.0   2881     0 |    1.41   0.37  -0.02  -1.16
0  2.46e+07 4140.47 | 4066.81    0.0   2881     0 |    1.41   0.40   0.03  -1.16
0  2.47e+07 4140.47 | 4063.62    0.0   2881     0 |    1.41   0.40  -0.04  -1.16
0  2.47e+07 4140.47 | 4066.99    0.0   2881     0 |    1.41   0.41   0.05  -1.16
0  2.48e+07 4140.47 | 4065.53    0.0   2881     0 |    1.41   0.37   0.08  -1.15
0  2.49e+07 4140.47 | 4066.63    0.0   2881     0 |    1.41   0.40   0.09  -1.16
0  2.50e+07 4140.47 | 4068.05    0.0   2881     0 |    1.41   0.36  -0.01  -1.16
0  2.50e+07 4140.47 | 4069.12    0.0   2881     0 |    1.41   0.36   0.09  -1.16
0  2.51e+07 4140.47 | 4065.85    0.0   2881     0 |    1.41   0.42  -0.00  -1.16
0  2.52e+07 4140.47 | 4065.95    0.0   2881     0 |    1.41   0.45  -0.09  -1.16
0  2.53e+07 4140.47 | 4065.28    0.0   2881     0 |    1.41   0.42   0.04  -1.15
0  2.53e+07 4140.47 | 4062.66    0.0   2881     0 |    1.41   0.47   0.06  -1.15
0  2.54e+07 4140.47 | 4067.24    0.0   2881     0 |    1.41   0.34  -0.08  -1.14
0  2.55e+07 4140.47 | 4061.19    0.0   2881     0 |    1.41   0.40   0.01  -1.14
0  2.56e+07 4140.47 | 4063.63    0.0   2881     0 |    1.41   0.37   0.01  -1.13
0  2.56e+07 4140.47 | 4066.79    0.0   2881     0 |    1.41   0.41   0.01  -1.13
0  2.57e+07 4140.47 | 4067.74    0.0   2881     0 |    1.41   0.41   0.04  -1.14
0  2.58e+07 4140.47 | 4069.20    0.0   2881     0 |    1.41   0.41  -0.05  -1.14
0  2.59e+07 4140.47 | 4070.69    0.0   2881     0 |    1.41   0.45   0.07  -1.15
0  2.59e+07 4140.47 | 4071.07    0.0   2881     0 |    1.41   0.43   0.03  -1.15
0  2.60e+07 4140.47 | 4069.85    0.0   2881     0 |    1.41   0.37  -0.01  -1.15
0  2.61e+07 4140.47 | 4064.26    0.0   2881     0 |    1.41   0.35   0.08  -1.15
0  2.62e+07 4140.47 | 4063.32    0.0   2881     0 |    1.41   0.37  -0.11  -1.14
0  2.62e+07 4140.47 | 4065.51    0.0   2881     0 |    1.41   0.40   0.06  -1.14
0  2.63e+07 4140.47 | 4064.13    0.0   2881     0 |    1.41   0.42   0.10  -1.14
0  2.64e+07 4140.47 | 4064.63    0.0   2881     0 |    1.41   0.34   0.09  -1.14
0  2.65e+07 4140.47 | 4063.02    0.0   2881     0 |    1.41   0.42   0.06  -1.13
0  2.65e+07 4140.47 | 4063.91    0.0   2881     0 |    1.41   0.36   0.14  -1.13
0  2.66e+07 4140.47 | 4064.88    0.0   2881     0 |    1.41   0.47   0.08  -1.12
0  2.67e+07 4140.47 | 4063.38    0.0   2881     0 |    1.41   0.40   0.09  -1.13
0  2.68e+07 4140.47 | 4062.46    0.0   2881     0 |    1.41   0.38  -0.01  -1.15
0  2.68e+07 4140.47 | 4064.27    0.0   2881     0 |    1.41   0.39   0.11  -1.14
0  2.69e+07 4140.47 | 4063.05    0.0   2881     0 |    1.41   0.32  -0.03  -1.15
0  2.70e+07 4140.47 | 4063.01    0.0   2881     0 |    1.41   0.35   0.04  -1.15
0  2.71e+07 4140.47 | 4064.45    0.0   2881     0 |    1.41   0.35  -0.07  -1.14
0  2.71e+07 4140.47 | 4063.26    0.0   2881     0 |    1.41   0.36   0.19  -1.15
0  2.72e+07 4140.47 | 4063.51    0.0   2881     0 |    1.41   0.32  -0.02  -1.15
0  2.73e+07 4140.47 | 4066.46    0.0   2881     0 |    1.41   0.42   0.07  -1.15
0  2.74e+07 4140.47 | 4064.72    0.0   2881     0 |    1.41   0.46   0.05  -1.16
0  2.74e+07 4140.47 | 4066.00    0.0   2881     0 |    1.41   0.31   0.00  -1.16
0  2.75e+07 4140.47 | 4065.06    0.0   2881     0 |    1.41   0.35  -0.01  -1.15
0  2.76e+07 4140.47 | 4064.25    0.0   2881     0 |    1.41   0.40   0.07  -1.15
0  2.77e+07 4140.47 | 4064.37    0.0   2881     0 |    1.41   0.46   0.05  -1.14
0  2.77e+07 4140.47 | 4061.29    0.0   2881     0 |    1.41   0.43   0.10  -1.14
0  2.78e+07 4140.47 | 4059.65    0.0   2881     0 |    1.41   0.44  -0.04  -1.14
0  2.79e+07 4140.47 | 4060.80    0.0   2881     0 |    1.41   0.34  -0.05  -1.14
0  2.80e+07 4140.47 | 4063.84    0.0   2881     0 |    1.41   0.43  -0.01  -1.13
0  2.80e+07 4140.47 | 4064.15    0.0   2881     0 |    1.41   0.37  -0.06  -1.13
0  2.81e+07 4140.47 | 4063.51    0.0   2881     0 |    1.41   0.42   0.10  -1.13
0  2.82e+07 4140.47 | 4055.63    0.0   2881     0 |    1.41   0.45   0.02  -1.14
0  2.83e+07 4140.47 | 4057.52    0.0   2881     0 |    1.41   0.36   0.12  -1.13
0  2.83e+07 4140.47 | 4057.95    0.0   2881     0 |    1.41   0.36  -0.01  -1.14
0  2.84e+07 4140.47 | 4055.61    0.0   2881     0 |    1.41   0.32   0.04  -1.14
0  2.85e+07 4140.47 | 4037.88    0.0   2881     0 |    1.41   0.45   0.01  -1.14
0  2.86e+07 4140.47 | 4046.00    0.0   2881     0 |    1.40   0.38  -0.01  -1.13
0  2.86e+07 4140.47 | 4046.60    0.0   2881     0 |    1.40   0.37   0.03  -1.13
0  2.87e+07 4140.47 | 4047.19    0.0   2881     0 |    1.40   0.43  -0.02  -1.14
0  2.88e+07 4140.47 | 4050.82    0.0   2881     0 |    1.41   0.42   0.01  -1.13
0  2.89e+07 4140.47 | 4057.57    0.0   2881     0 |    1.41   0.37   0.08  -1.12
0  2.89e+07 4140.47 | 4057.55    0.0   2881     0 |    1.41   0.32   0.16  -1.13
0  2.90e+07 4140.47 | 4060.87    0.0   2881     0 |    1.41   0.39   0.03  -1.14
0  2.91e+07 4140.47 | 4059.34    0.0   2881     0 |    1.41   0.43  -0.03  -1.12
0  2.92e+07 4140.47 | 4061.81    0.0   2881     0 |    1.41   0.33   0.00  -1.13
0  2.92e+07 4140.47 | 4059.98    0.0   2881     0 |    1.41   0.29   0.01  -1.15
0  2.93e+07 4140.47 | 4059.22    0.0   2881     0 |    1.41   0.39   0.08  -1.14
