################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  8.33e+06 3657.19 | 3594.05    0.0   2882     0 |    1.25   0.69   0.02  -1.17
0  8.41e+06 3657.19 | 3583.14    0.0   2882     0 |    1.24   0.70  -0.08  -1.18
0  8.49e+06 3657.19 | 3584.10    0.0   2882     0 |    1.24   0.72  -0.04  -1.17
0  8.57e+06 3657.19 | 3596.95    0.0   2882     0 |    1.25   0.70   0.11  -1.18
0  8.65e+06 3657.19 | 3565.32    0.0   2882     0 |    1.24   0.59  -0.06  -1.18
0  8.73e+06 3657.19 | 3574.60    0.0   2882     0 |    1.24   0.64  -0.04  -1.16
0  8.81e+06 3657.19 | 3600.63    0.0   2882     0 |    1.25   0.70   0.05  -1.17
0  8.89e+06 3657.19 | 3549.45    0.0   2882     0 |    1.23   0.61   0.08  -1.17
0  8.97e+06 3657.19 | 3548.65    0.0   2882     0 |    1.23   0.65   0.02  -1.18
0  9.05e+06 3657.19 | 3579.96    0.0   2882     0 |    1.24   0.66   0.04  -1.17
0  9.13e+06 3657.19 | 3623.71    0.0   2886     0 |    1.25   0.69   0.09  -1.17
0  9.21e+06 3657.19 | 3575.81    0.0   2882     0 |    1.25   0.65   0.08  -1.17
0  9.30e+06 3657.19 | 3535.10    0.0   2882     0 |    1.22   0.63   0.03  -1.18
0  9.38e+06 3657.19 | 3551.74    0.0   2882     0 |    1.23   0.58  -0.02  -1.17
0  9.46e+06 3657.19 | 3572.28    0.0   2882     0 |    1.24   0.61   0.05  -1.16
0  9.54e+06 3657.19 | 3605.16    0.0   2883     0 |    1.24   0.71   0.03  -1.17
0  9.62e+06 3657.19 | 3551.42    0.0   2882     0 |    1.23   0.74  -0.05  -1.15
0  9.70e+06 3657.19 | 3561.53    0.0   2882     0 |    1.23   0.68   0.20  -1.16
0  9.78e+06 3657.19 | 3572.83    0.0   2885     0 |    1.24   0.65   0.07  -1.17
0  9.86e+06 3657.19 | 3551.60    0.0   2882     0 |    1.23   0.59   0.04  -1.16
0  9.94e+06 3657.19 | 3567.89    0.0   2882     0 |    1.24   0.53   0.02  -1.18
0  1.00e+07 3657.19 | 3569.35    0.0   2882     0 |    1.24   0.73   0.04  -1.18
0  1.01e+07 3657.19 | 3569.96    0.0   2886     0 |    1.24   0.60   0.07  -1.17
0  1.02e+07 3657.19 | 3573.40    0.0   2886     0 |    1.24   0.61   0.03  -1.18
0  1.03e+07 3657.19 | 3571.89    0.0   2883     0 |    1.24   0.66   0.17  -1.17
0  1.03e+07 3657.19 | 3558.69    0.0   2882     0 |    1.23   0.59  -0.06  -1.16
0  1.04e+07 3657.19 | 3575.92    0.0   2882     0 |    1.24   0.72   0.12  -1.16
0  1.05e+07 3657.19 | 3578.96    0.0   2887     0 |    1.24   0.73   0.10  -1.16
0  1.06e+07 3657.19 | 3594.19    0.0   2882     0 |    1.24   0.57   0.01  -1.16
0  1.07e+07 3657.19 | 3589.96    0.0   2883     0 |    1.24   0.67   0.11  -1.16
0  1.07e+07 3657.19 | 3574.24    0.0   2886     0 |    1.24   0.64   0.03  -1.16
0  1.08e+07 3657.19 | 3593.16    0.0   2882     0 |    1.25   0.63  -0.01  -1.16
0  1.09e+07 3657.19 | 3615.32    0.0   2887     0 |    1.25   0.68   0.07  -1.16
0  1.10e+07 3657.19 | 3610.64    0.0   2887     0 |    1.25   0.56  -0.01  -1.15
0  1.11e+07 3657.19 | 3626.93    0.0   2887     0 |    1.25   0.54  -0.00  -1.15
0  1.12e+07 3657.19 | 3582.57    0.0   2884     0 |    1.24   0.68   0.04  -1.16
0  1.12e+07 3657.19 | 3610.44    0.0   2884     0 |    1.25   0.57   0.11  -1.16
0  1.13e+07 3657.19 | 3585.81    0.0   2883     0 |    1.24   0.69   0.02  -1.16
